Comment,Designator,Footprint,LCSC
R,"R1,R2,R3,R4",R_0805_2012Metric,C149504
C,"C1,C2,C3,C4,C5",C_0805_2012Metric,C82028
Screw_Terminal_01x02,"J1,J2,J3,J4,J5","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C8465
DB25_Plug,J26,Norcomp-380-025-113L001-microd_Updated,
